NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
EKO 1,09206J,9393943,SZIP,89.95,82.9,14,6.5,4.2,2978,962,2454,https://www.vesselfinder.com/vessels/details/9393943
GAS EVOLUZIONE,12751M,9142318,Liquefied gas carrier,94.5,89.08,16.6,7.1,4.51,3504,1052,2981,https://www.vesselfinder.com/vessels/details/9142318
VIRGIN 1,29675H,9953858,Oil tanker,29.5,28.7,6.5,2.75,2,146,43,175,https://www.vesselfinder.com/vessels/details/9953858
THE AMIGO,19633S,9492309,Oil tanker / Asphalt carrier / Chemical tanker,133.26,128.2,23,12.4,8.6,10866,3612,14911,https://www.vesselfinder.com/vessels/details/9492309
FORBIN,17631R,9559652,Liquefied gas carrier,99.9,93.51,17.6,8,6.25,4313,1374,5072,https://www.vesselfinder.com/vessels/details/9559652
SEAVEN PRIDE,06687V,9310393,Oil tanker / Chemical tanker,105.5,98.41,16.8,7.4,6.29,4077,1812,5717,https://www.vesselfinder.com/vessels/details/9310393
CESTENI,11477C,9447031,Oil tanker / Chemical tanker,131.85,124.21,18.9,10.2,7.98,7260,3652,10745,https://www.vesselfinder.com/vessels/details/9447031
SEAVEN VOYAGER,28236T,9405796,Oil tanker / Chemical tanker,100.12,94,18,9.6,6.5,5031,1681,6796,https://www.vesselfinder.com/vessels/details/9405796
EVIAPETROL I,02832F,9260392,Oil tanker / Chemical tanker,74.85,68.76,12.2,6.1,5.09,1405,598,2390,https://www.vesselfinder.com/vessels/details/9260392
IFRIKIA III,32034W,9063079,Offshore Service Ship,257.58,42.5,22.39,16.01,3416,73685,130596,265,https://www.vesselfinder.com/vessels/details/9063079
ORAMALIA,07182J,9392640,Oil tanker / Chemical tanker,103,95.93,16,8.7,7.01,3933,1940,6863,https://www.vesselfinder.com/vessels/details/9392640
OLYMPIC LIFE,34819Y,9844277,Oil tanker,333,327,60,30.4,22.6,160874,110729,318676,https://www.vesselfinder.com/vessels/details/9844277
ALULAR,30440P,9578012,Liquefied gas carrier,99,92.5,17.4,11.7,7.06,5036,1511,4986,https://www.vesselfinder.com/vessels/details/9578012
GAS GLOBAL,04511F,9290270,Liquefied gas carrier,224.5,210.19,36,22.3,11.7,46632,15461,53208,https://www.vesselfinder.com/vessels/details/9290270
FEO SWAN,08623A,9358498,Oil tanker / Chemical tanker,99.9,93.64,15,7.4,6.05,3269,1429,4709,https://www.vesselfinder.com/vessels/details/9358498
ENERGY ATLANTIC,22206P,9649328,Liquefied gas carrier,290,278,46,26,12.6,106771,32970,89766,https://www.vesselfinder.com/vessels/details/9649328
SUSANNE THERESA,06861K,9334404,Oil tanker / Chemical tanker,92.86,86.65,14.1,7.2,5.7,2623,1133,3464,https://www.vesselfinder.com/vessels/details/9334404
PIS PROLIFIC,23224V,9525211,Liquefied gas carrier,99.96,93.73,16.6,7.8,5.71,3728,1119,3791,https://www.vesselfinder.com/vessels/details/9525211
VLADIMIR VORONIN,27900D,9750737,Liquefied gas carrier,299,283.1,50,26.5,13,128969,38690,96840,https://www.vesselfinder.com/vessels/details/9750737
V. GLORY,42044C,9849851,Oil tanker,324,324,60,26.72,21.7,153947,106634,299682,https://www.vesselfinder.com/vessels/details/9849851
AQASIA,13693L,9556753,Oil tanker / Chemical tanker,95.14,87.29,13,5.45,1059,2388,1139,3356,https://www.vesselfinder.com/vessels/details/9556753
BERGEN TANK,13656V,9436161,Oil tanker,47.85,47.15,10,4,2.85,498,174,850,https://www.vesselfinder.com/vessels/details/9436161
BLUE CHEM,11097P,9519614,Oil tanker / Chemical tanker,119.1,111.6,16.9,6.75,1679,4765,2296,7003,https://www.vesselfinder.com/vessels/details/9519614
ANUKET PEARL,11806K,9395886,Oil tanker / Chemical tanker,101.39,96.01,19.05,10.5,7,5581,2031,7277,https://www.vesselfinder.com/vessels/details/9395886
LAUREL,16047U,9576911,Oil tanker,103.2,96.6,17.5,9,7.6,4915,2375,8657,https://www.vesselfinder.com/vessels/details/9576911
SEAPEAK MERIDIAN,09496Y,9369904,Liquefied gas carrier,285,275,43.4,26.6,12.1,104169,32537,81929,https://www.vesselfinder.com/vessels/details/9369904
JABRAYIL DOVLATZADEH,09874K,9383613,Oil tanker / Chemical tanker,92.86,86.9,14.1,7.2,5.7,2603,1131,3500,https://www.vesselfinder.com/vessels/details/9383613
ATLANTIS ANTIBES,13038Y,9508108,Oil tanker / Chemical tanker,105.5,99.35,16.8,6.29,1120,4028,1822,5659,https://www.vesselfinder.com/vessels/details/9508108
OCEAN SUN,11756F,9427500,Oil tanker / Chemical tanker,93.15,86.5,15.2,7.2,5.4,3166,1318,4387,https://www.vesselfinder.com/vessels/details/9427500
FALCON 18,06162A,8907890,Oil tanker,104.76,98,16,6.14,1791,3417,1523,4998,https://www.vesselfinder.com/vessels/details/8907890
BRAHMS,13577K,9517446,Oil tanker / Chemical tanker,98.71,91.65,14.1,5.8,1411,2974,1192,4127,https://www.vesselfinder.com/vessels/details/9517446
SAI GON SKY,12220K,9420095,Oil tanker,118,110,17.6,9,6.6,5036,2272,7119,https://www.vesselfinder.com/vessels/details/9420095
ECO GREEN,23278E,9658367,Liquefied gas carrier,99.95,94.95,18,8,6.7,5452,1635,5209,https://www.vesselfinder.com/vessels/details/9658367
